n2,n3,n4,n5,n6
55.1704995921779,-25.165818097016995,53.62679303485102,-32.7273557552824,57.5292408735472
54.9314044731057,-24.46664935944652,51.86478797132352,-29.937874616728045,52.57426099511447
54.6930065788156,-23.77398513046832,50.13346320628466,-27.23684764758136,47.81279865896334
54.4553034217011,-23.08780104606116,48.43226484187675,-24.62350020429633,43.23923010076534
54.2182925384321,-22.408071247742527,46.7606957854066,-22.096704196880648,38.85065608459355
53.9819714896988,-21.734768469934266,45.1183111170334,-19.65504019024346,34.646209658985846
53.7463378599567,-21.06786412310828,43.50471360612352,-17.29685187497971,30.626441522574005
53.5113892571718,-20.407328372914208,41.91954938428103,-15.020293738904646,26.792781114798085
53.2771233125679,-19.753130215485655,40.36250378167075,-12.823372699792497,23.14707209384174
53.0435376803748,-19.105237549112474,38.83329733201556,-10.703984388676542,19.69118079609404
52.8106300375772,-18.46361724245753,37.33168195055334,-8.659944704069444,16.42667573894879
52.5783980836653,-17.828235199491047,35.857437288253706,-6.689017192074594,13.354575389143264
52.3468395403865,-17.199056421306267,34.41036726469452,-4.788936746533569,10.47516042356128
52.1159521514981,-16.576045064973243,32.99029678118069,-2.9574300675131897,7.787845695279976
51.8857336825215,-15.959164499581263,31.597068614920016,-1.1922332657846286,5.291106198671817
51.6561819204975,-15.348377359612542,30.23054049436333,0.508893044682171,2.9824505899903992
51.4272946737431,-14.743645595783633,28.890582355147103,2.1481508649320693,0.858435319960666
51.1990697716096,-14.144930523484575,27.57707377544789,3.727693874928273,-1.0852877998303605
50.9715050642413,-13.55219286893933,26.28990158896413,5.249618210251903,-2.853897744304935
50.7445984223369,-12.965392813205142,25.02895767317614,6.715954747048375,-4.453311008003934
50.518347736911,-12.384490034122805,23.794136910005903,8.128662715697637,-5.890075312220128
50.2927509190576,-11.809443746323765,22.585335315497,9.489624485714955,-7.171256029529502
50.0678058997149,-11.240212739395503,21.402448334662807,10.800641383767676,-8.304320313564089
49.8435106294314,-10.676755414300104,20.245369297217668,12.063430423798636,-9.29702310646392
